OutputCode,WorkplacePop
S00158391,21
S00158392,13
S00158393,14
S00158394,38
S00158395,22
S00158396,15
S00158397,10
S00158398,32
S00158399,3
S00158400,37
S00158401,53
S00158402,18
S00158403,29
S00158404,198
S00158405,20
S00158406,100
S00158407,14
S00158408,22
S00158409,39
S00158410,29
S00158411,18
S00158412,11
S00158413,33
S00158414,43
S00158415,68
S00158416,19
S00158417,27
S00158418,14
S00158419,19
S00158420,21
S00158421,48
S00158422,30
S00158423,29
S00158424,62
S00158425,18
S00158426,21
S00158427,23
S00158428,41
S00158429,49
S00158430,12
S00158431,103
S00158432,38
S00158433,33
S00158434,45
S00158435,31
S00158436,23
S00158437,32
S00158438,23
S00158439,17
S00158440,44
S00158441,53
S00158442,36
S00158443,28
S00158444,34
S00158445,25
S00158446,33
S00158447,16
S00158448,25
S00158449,34
S00158450,31
S00158451,32
S00158452,48
S00158453,43
S00158454,46
S00158455,41
S00158456,82
S00158457,23
S00158458,20
S00158459,25
S00158460,18
S00158461,939
S00158462,26
S00158463,160
S00158464,44
S00158465,13
S00158466,10
S00158467,28
S00158468,31
S00158469,34
S00158470,72
S00158471,38
S00158472,65
S00158473,19
S00158474,63
S00158475,24
S00158476,18
S00158477,99
S00158478,19
S00158479,39
S00158480,86
S00158481,21
S00158482,18
S00158483,42
S00158484,35
S00158485,27
S00158486,57
S00158487,18
S00158488,116
S00158489,47
S00158490,15
S00158491,14
S00158492,44
S00158493,32
S00158494,34
S00158495,24
S00158496,30
S00158497,20
S00158498,21
S00158499,30
S00158500,10
S00158501,22
S00158502,34
S00158503,136
S00158504,15
S00158505,29
S00158506,12
S00158507,28
S00158508,31
S00158509,14
S00158510,49
S00158511,29
S00158512,30
S00158513,16
S00158514,14
S00158515,120
S00158516,28
S00158517,9
S00158518,35
S00158519,34
S00158520,39
S00158521,45
S00158522,23
S00158523,101
S00158524,31
S00158525,15
S00158526,25
S00158527,27
S00158528,31
S00158529,24
S00158530,114
S00158531,33
S00158532,33
S00158533,32
S00158534,33
S00158535,59
S00158536,19
S00158537,26
S00158538,68
S00158539,37
S00158540,550
S00158541,20
S00158542,46
S00158543,23
S00158544,37
S00158545,39
S00158546,18
S00158547,21
S00158548,28
S00158549,21
S00158550,11
S00158551,43
S00158552,11
S00158553,40
S00158554,12
S00158555,17
S00158556,101
S00158557,37
S00158558,151
S00158559,33
S00158560,19
S00158561,22
S00158562,17
S00158563,57
S00158564,18
S00158565,42
S00158566,17
S00158567,21
S00158568,20
S00158569,807
S00158570,81
S00158571,128
S00158572,32
S00158573,43
S00158574,18
S00158575,25
S00158576,"1,472"
S00158577,16
S00158578,40
S00158579,24
S00158580,22
S00158581,45
S00158582,40
S00158583,59
S00158584,16
S00158585,27
S00158586,18
S00158587,19
S00158588,29
S00158589,98
S00158590,73
S00158591,52
S00158592,17
S00158593,22
S00158594,35
S00158595,84
S00158596,59
S00158597,25
S00158598,10
S00158599,209
S00158600,206
S00158601,45
S00158602,51
S00158603,9
S00158604,22
S00158605,23
S00158606,52
S00158607,99
S00158608,54
S00158609,31
S00158610,90
S00158611,60
S00158612,170
S00158613,63
S00158614,27
S00158615,22
S00158616,15
S00158617,29
S00158618,16
S00158619,18
S00158620,24
S00158621,56
S00158622,16
S00158623,40
S00158624,73
S00158625,54
S00158626,23
S00158627,52
S00158628,33
S00158629,20
S00158630,24
S00158631,12
S00158632,51
S00158633,13
S00158634,42
S00158635,17
S00158636,39
S00158637,27
S00158638,22
S00158639,36
S00158640,18
S00158641,20
S00158642,82
S00158643,26
S00158644,25
S00158645,27
S00158646,14
S00158647,20
S00158648,38
S00158649,69
S00158650,36
S00158651,74
S00158652,12
S00158653,17
S00158654,27
S00158655,30
S00158656,65
S00158657,20
S00158658,23
S00158659,579
S00158660,46
S00158661,25
S00158662,44
S00158663,53
S00158664,23
S00158665,24
S00158666,44
S00158667,115
S00158668,13
S00158669,90
S00158670,39
S00158671,23
S00158672,39
S00158673,24
S00158674,"2,868"
S00158675,32
S00158676,13
S00158677,23
S00158678,31
S00158679,13
S00158680,22
S00158681,598
S00158682,85
S00158683,7
S00158684,29
S00158685,870
S00158686,14
S00158687,13
S00158688,20
S00158689,90
S00158690,47
S00158691,33
S00158692,907
S00158693,26
S00158694,32
S00158695,50
S00158696,14
S00158697,34
S00158698,43
S00158699,38
S00158700,57
S00158701,28
S00158702,13
S00158703,"1,143"
S00158704,64
