Scotland's Census 2022 - National Records of Scotland
Table UV607 - National Statistics Socio-economic Classification (NS-SeC)
All people aged 16 and over
,"All people aged 16 and over","L1: Employers in large establishments","L2: Higher managerial and administrative occupations","L3: Higher professional occupations","L4: Lower professional and higher technical occupations","L5: Lower managerial and administrative occupations","L6: Higher supervisory occupations","L7: Intermediate occupations","L8: Employers in small establishments","L9: Own account workers","L10: Lower supervisory occupations","L11: Lower technical occupations","L12: Semi-routine occupations","L13: Routine occupations","L14.1: Never worked","L14.2: Long-term unemployed","L15: Full-time students"
"S00135576",111,-,1,6,17,1,-,9,2,2,-,3,18,33,9,2,4
"S00135577",105,-,3,12,19,5,1,9,-,2,5,7,16,15,1,2,6
"S00135578",101,-,5,17,16,1,4,16,-,3,3,4,12,11,6,-,6
"S00135579",76,-,2,14,17,2,2,10,-,8,3,-,6,5,4,1,2
"S00135580",122,-,-,7,15,10,1,26,1,3,6,10,12,23,3,-,6
"S00135581",105,-,7,10,18,5,7,17,1,7,4,-,12,5,3,-,11
"S00135582",77,-,2,7,12,3,3,16,1,5,2,4,-,8,3,2,6
"S00135583",106,-,3,15,17,2,6,13,-,6,4,4,12,11,7,3,3
"S00135584",97,-,-,7,7,1,8,14,-,11,4,2,11,20,7,1,4
"S00135585",82,-,4,9,10,3,6,14,-,3,6,5,8,10,-,1,4
"S00135586",95,-,-,4,29,10,6,12,2,2,4,7,7,10,4,-,3
"S00135587",67,-,-,10,10,6,-,9,2,3,-,3,6,17,1,-,1
"S00135588",82,-,-,7,14,4,-,12,-,5,4,1,14,11,7,-,3
"S00135589",75,-,3,7,15,3,3,11,-,9,-,4,6,8,4,-,2
"S00135590",62,-,1,9,9,3,5,11,-,3,4,2,10,3,-,-,4
"S00135591",68,-,-,3,10,2,-,8,1,2,5,5,8,16,3,2,4
"S00135592",81,-,2,9,20,2,3,9,1,4,10,5,6,5,2,-,8
"S00135593",78,-,3,9,18,-,-,9,-,2,6,2,9,10,3,-,6
"S00135594",85,-,6,11,18,2,4,18,1,5,-,1,7,4,3,1,3
"S00135595",119,-,1,4,20,2,5,11,2,7,7,8,17,21,10,-,7
"S00135596",185,-,8,14,41,10,4,25,1,6,15,5,12,22,15,1,2
"S00135597",113,-,1,2,9,2,1,11,-,2,5,10,17,30,7,2,7
"S00135598",79,-,2,9,14,3,4,13,4,2,5,1,10,10,-,1,4
"S00135599",110,-,3,8,22,5,5,21,-,5,5,4,6,12,2,3,7
