Scotland's Census 2022 - National Records of Scotland
Table UV607 - National Statistics Socio-economic Classification (NS-SeC)
All people aged 16 and over
,"All people aged 16 and over","L1: Employers in large establishments","L2: Higher managerial and administrative occupations","L3: Higher professional occupations","L4: Lower professional and higher technical occupations","L5: Lower managerial and administrative occupations","L6: Higher supervisory occupations","L7: Intermediate occupations","L8: Employers in small establishments","L9: Own account workers","L10: Lower supervisory occupations","L11: Lower technical occupations","L12: Semi-routine occupations","L13: Routine occupations","L14.1: Never worked","L14.2: Long-term unemployed","L15: Full-time students"
"S00135615",136,-,7,24,34,9,6,11,-,8,2,10,6,5,1,6,10
"S00135616",58,-,3,13,10,5,-,4,1,2,1,2,8,5,1,2,4
"S00135617",91,-,4,15,10,3,3,8,2,5,1,8,10,5,4,3,5
"S00135618",65,-,3,7,18,1,5,11,3,5,2,-,4,4,-,2,2
"S00135619",54,-,2,4,11,-,4,7,-,-,4,2,3,8,3,2,5
"S00135620",77,-,4,6,4,-,3,15,-,6,4,5,12,9,4,-,7
"S00135621",112,-,-,4,13,1,-,9,-,6,7,11,12,38,3,5,6
"S00135622",79,-,2,12,14,2,-,11,-,3,3,4,4,5,-,4,14
"S00135623",116,-,5,11,18,3,4,17,-,4,5,5,14,23,3,1,3
"S00135624",70,-,-,4,12,2,2,7,-,-,5,4,10,20,2,-,-
"S00135625",92,-,4,11,21,1,1,8,-,5,-,3,7,14,2,-,14
"S00135626",51,-,-,7,5,1,5,7,2,3,1,4,4,8,3,-,5
"S00135627",98,-,3,4,13,-,8,14,-,4,4,-,15,26,3,-,2
"S00135628",136,-,4,5,13,4,1,16,1,8,4,5,19,37,10,3,5
"S00135629",136,-,2,13,29,5,4,17,2,3,4,7,7,19,3,-,16
"S00135630",93,-,1,-,12,3,3,9,-,5,8,8,14,21,-,-,9
"S00135631",117,-,3,5,13,3,9,16,-,5,4,3,17,12,9,2,19
"S00135632",134,-,-,-,10,2,4,18,1,3,7,10,20,42,9,4,9
"S00135633",57,-,2,1,8,1,5,12,-,5,5,2,3,4,2,1,5
"S00135634",73,-,1,7,14,3,4,7,-,-,3,3,7,14,2,-,2
"S00135635",101,-,-,5,11,3,3,12,1,6,4,3,12,24,2,3,4
"S00135636",89,-,3,3,14,1,1,12,2,9,5,5,9,18,4,2,3
"S00135637",98,-,-,6,12,4,3,13,3,5,8,3,11,19,1,1,3
"S00135638",75,-,3,7,8,-,2,10,2,4,1,3,9,6,7,-,14
"S00135639",59,-,-,11,12,2,1,6,-,5,2,3,7,8,2,-,4
"S00135640",114,-,-,3,17,3,3,14,2,5,3,9,22,23,4,-,4
"S00135641",62,-,3,3,10,3,1,9,-,5,4,2,10,10,5,-,1
"S00135642",128,-,1,12,24,3,4,17,1,4,5,3,17,15,5,1,17
"S00135643",75,-,1,6,5,4,-,4,-,5,3,3,9,25,1,-,4
"S00135644",70,-,3,3,14,3,2,15,-,4,3,-,14,9,5,1,5
"S00135645",73,-,1,1,10,2,4,9,-,4,2,4,13,12,5,-,2
"S00135646",67,-,-,4,5,2,4,8,-,4,2,1,16,19,4,-,-
"S00135647",125,-,3,7,20,2,4,13,2,2,10,13,16,22,10,1,2
"S00135648",86,-,-,-,5,1,2,6,-,10,7,3,15,28,3,1,5
"S00135649",60,-,1,3,4,2,1,4,-,7,4,6,7,16,7,-,1
"S00135650",91,-,3,1,7,1,-,5,2,7,3,4,18,25,12,-,4
"S00135651",103,-,-,8,16,3,5,20,1,4,4,4,10,17,3,-,8
"S00135652",81,-,-,11,26,-,4,11,3,3,2,2,8,10,2,1,-
"S00135653",58,-,-,7,11,2,1,4,1,2,2,-,7,11,-,-,11
"S00135654",58,-,1,4,5,-,-,5,-,5,9,3,11,13,1,1,1
"S00135655",91,-,-,11,14,-,8,7,1,8,5,1,8,15,6,-,4
"S00135656",81,-,1,2,7,-,1,5,-,4,3,-,10,31,7,1,4
"S00135657",88,-,1,4,7,-,1,6,-,3,3,1,9,37,10,2,12
"S00135658",68,-,3,2,8,2,3,3,-,6,4,3,6,14,2,2,10
"S00135659",103,1,-,2,6,1,1,16,2,3,6,7,13,28,6,7,3
"S00135660",91,-,1,5,3,-,1,4,-,7,6,7,10,27,6,1,6
"S00135661",54,-,1,10,7,2,4,7,-,4,1,1,6,10,2,-,3
"S00135662",100,-,-,5,11,8,9,15,2,6,6,4,16,15,2,-,2
"S00135663",89,-,3,3,9,4,2,20,-,1,2,3,8,19,8,2,4
"S00135664",135,-,3,6,13,1,-,10,2,8,9,4,17,36,6,2,17
"S00135665",98,-,2,-,6,2,1,7,-,7,9,2,18,25,12,1,6
"S00135666",68,-,1,1,8,1,1,9,4,5,3,3,6,21,3,-,1
"S00135667",122,-,-,4,13,5,1,12,-,9,3,6,17,28,12,2,12
"S00135668",107,-,-,5,10,-,2,9,2,4,7,4,14,21,8,5,11
"S00135669",113,-,-,6,9,-,2,8,3,7,3,7,10,43,4,1,11
"S00135670",127,-,2,6,12,-,4,12,1,1,4,5,13,34,4,-,23
"S00135671",73,-,1,7,11,3,-,9,2,10,2,3,7,8,3,-,3
"S00135672",94,-,2,5,11,2,-,10,-,4,7,6,9,27,7,-,5
"S00135673",67,-,-,1,5,4,2,12,1,3,1,6,9,13,6,-,4
"S00135674",83,-,-,11,13,4,-,7,1,6,2,6,12,11,2,-,1
"S00135675",109,-,-,7,9,4,1,10,-,3,5,4,15,28,8,2,12
"S00135676",72,-,1,2,6,3,1,11,-,6,2,4,16,11,5,3,1
"S00135677",58,-,-,4,3,-,1,4,-,-,2,2,11,17,5,5,5
"S00135678",88,-,3,3,17,3,3,11,-,6,2,6,13,14,2,-,5
"S00135679",72,1,6,14,11,4,-,2,1,1,-,2,5,8,5,4,8
"S00135680",88,-,1,-,8,4,1,18,-,3,6,7,9,20,6,-,3
"S00135681",98,-,-,8,12,1,-,10,-,8,3,-,21,20,-,4,10
"S00135682",69,-,-,3,5,2,3,8,-,9,2,5,10,17,2,-,3
"S00135683",82,-,2,-,2,-,3,4,-,4,4,6,11,23,11,3,9
"S00135684",70,-,1,3,8,4,-,1,1,3,2,2,15,17,5,6,4
"S00135685",108,-,-,9,15,2,1,13,1,5,2,4,19,30,6,-,4
"S00135686",103,-,1,1,10,-,1,6,1,3,4,3,20,36,15,-,1
"S00135687",101,-,1,3,10,3,-,7,3,4,1,5,9,33,1,1,14
"S00135688",113,-,1,-,7,6,1,17,-,4,5,3,14,21,25,-,4
"S00135689",74,-,-,2,-,-,3,2,2,11,2,4,15,16,5,2,5
"S00135690",106,-,-,2,12,5,2,7,-,7,6,7,14,24,7,2,4
"S00135691",98,-,2,2,5,1,2,15,1,8,4,7,14,21,4,1,15
"S00135692",61,-,-,4,1,-,1,7,-,1,3,-,15,18,1,-,9
"S00135693",83,-,3,1,3,2,-,7,1,2,5,6,12,27,3,2,7
"S00135694",76,-,4,5,7,2,3,10,1,2,1,3,16,16,6,1,-
"S00135695",73,-,1,5,4,3,1,12,3,-,7,4,6,15,6,-,4
"S00135696",59,-,-,6,16,2,-,4,-,-,1,1,5,5,-,-,19
"S00135697",101,-,4,5,9,15,-,6,5,5,5,4,8,15,3,1,13
"S00135698",118,-,-,1,7,3,4,12,4,7,10,1,20,33,14,3,6
"S00135699",126,-,2,6,17,-,3,9,-,9,4,8,20,26,9,2,7
"S00135700",43,-,-,1,4,-,1,4,1,2,6,2,13,13,-,2,2
"S00135701",80,-,2,3,11,4,2,8,-,3,4,6,11,19,6,-,4
"S00135702",103,-,-,-,9,1,-,13,1,4,9,4,10,37,15,-,-
"S00135703",59,-,-,2,9,2,-,3,-,2,3,2,8,12,4,3,10
"S00135704",62,-,-,3,4,1,3,8,-,-,2,4,11,10,7,-,6
"S00135705",75,-,3,2,3,3,-,7,2,5,6,3,9,18,6,-,6
"S00135706",92,-,-,4,3,-,-,7,-,3,3,5,15,34,14,3,9
"S00135707",53,-,-,3,7,-,1,5,1,1,3,1,6,12,6,2,5
"S00135708",101,-,-,8,9,-,-,6,2,6,3,4,15,22,4,5,17
"S00135709",80,-,-,4,6,1,2,15,1,4,-,2,16,18,4,6,4
"S00135710",52,-,-,2,6,-,3,1,1,3,3,-,8,12,5,2,3
"S00135711",75,-,-,5,5,4,-,4,-,3,5,1,11,11,5,3,18
"S00135712",100,-,2,10,3,2,3,4,1,12,4,1,12,25,13,-,12
"S00135713",66,-,1,6,7,-,2,7,-,3,5,5,7,8,2,-,12
"S00135714",105,-,1,6,6,4,-,12,1,5,4,4,16,30,1,3,9
"S00135715",92,-,3,7,7,6,3,15,-,6,2,1,14,16,1,1,10
"S00135716",107,-,3,7,6,1,-,13,-,7,6,4,17,19,10,-,13
"S00135717",95,-,2,8,11,4,-,13,1,2,4,5,11,15,2,2,17
"S00135718",59,-,-,3,9,4,3,3,-,-,4,4,10,8,2,-,10
"S00135719",119,-,-,-,12,1,5,10,4,1,7,7,18,40,12,3,9
"S00135720",169,-,3,6,13,9,1,18,-,7,6,12,19,43,17,2,7
"S00135721",128,-,1,6,19,3,1,17,1,3,4,-,22,30,6,1,9
"S00135722",56,-,-,-,3,1,-,3,-,2,4,3,7,12,3,1,18
"S00135723",61,-,1,1,7,1,1,2,2,5,2,3,15,11,6,2,1
"S00135724",67,-,-,1,10,-,-,5,-,-,5,-,13,15,11,-,5
"S00135725",89,-,1,3,5,4,1,6,-,-,4,7,9,28,10,2,9
"S00135726",114,-,-,5,7,1,1,15,-,8,6,5,26,25,7,3,8
"S00135727",99,-,1,13,10,-,3,6,-,4,4,-,6,20,1,1,23
"S00135728",91,-,-,2,7,2,6,6,1,2,2,4,13,27,7,3,1
"S00135729",96,-,3,4,8,2,2,11,1,6,5,6,15,19,8,2,5
"S00135730",84,-,-,3,13,4,2,12,-,1,8,5,10,17,4,-,7
"S00135731",66,-,4,3,9,1,2,9,3,-,8,2,10,16,2,-,6
"S00135732",92,-,1,1,4,4,1,10,-,3,2,7,17,25,13,-,4
"S00135733",65,-,-,2,3,1,4,6,1,4,9,4,6,18,6,1,5
"S00135734",180,-,2,12,11,2,5,7,4,4,4,5,4,6,5,1,111
"S00135735",84,-,-,4,7,6,5,12,2,4,6,5,9,15,2,1,8
"S00135736",78,-,1,10,8,1,-,12,2,3,1,-,8,15,1,-,10
"S00135737",64,-,4,1,2,1,4,3,1,5,4,5,13,19,4,-,6
"S00135738",131,-,1,6,18,2,4,11,-,5,6,13,21,25,10,3,7
"S00135739",79,-,1,1,3,-,2,5,2,7,2,4,12,24,4,4,9
"S00135740",77,-,4,3,8,2,-,3,-,5,3,5,14,11,9,1,5
"S00135741",59,-,2,2,4,3,3,9,-,2,4,4,10,8,6,2,3
"S00135742",81,-,-,4,12,-,3,-,-,4,2,11,12,21,4,2,1
"S00135743",66,-,1,-,5,1,-,8,2,1,1,2,11,29,6,1,1
"S00135744",78,-,-,1,7,-,1,2,1,1,4,4,16,18,8,1,6
"S00135745",98,-,2,5,12,-,4,9,-,4,4,8,18,19,6,-,9
"S00135746",51,-,1,2,8,2,3,3,-,1,-,4,11,8,4,-,7
"S00135747",75,-,2,1,2,7,3,7,4,7,3,5,17,19,-,-,3
"S00135748",101,-,1,5,14,4,2,9,-,6,3,2,18,22,7,2,4
"S00135749",62,-,2,1,10,-,1,2,2,2,2,2,5,17,9,4,2
"S00135750",87,-,4,5,17,2,1,8,2,10,4,2,10,18,4,3,6
"S00135751",106,-,2,2,8,3,2,10,-,4,6,5,16,29,9,6,7
"S00135752",65,-,1,3,5,-,-,10,-,6,-,5,6,20,2,2,5
"S00135753",88,-,-,2,11,1,-,1,1,6,9,3,12,8,10,-,25
"S00135754",83,-,2,1,4,1,2,8,-,1,9,5,12,20,10,-,6
"S00135755",112,-,2,2,8,4,1,7,-,10,2,5,16,29,6,3,19
"S00135756",80,-,2,4,10,-,1,5,-,2,2,4,10,10,5,1,16
"S00135757",93,-,-,6,16,-,-,9,3,4,4,3,9,15,11,3,9
"S00135758",97,-,-,-,7,2,1,1,1,1,2,3,13,30,21,2,11
"S00135759",48,-,-,-,1,1,1,4,1,-,-,-,13,19,-,-,5
"S00135760",56,-,1,-,3,2,-,1,-,-,3,1,11,21,3,2,8
"S00135761",77,-,-,-,3,3,-,8,1,4,2,5,14,21,6,1,8
"S00135762",96,-,-,8,4,-,-,11,2,3,4,5,12,20,4,1,18
"S00135763",74,-,2,3,4,-,3,16,-,5,-,3,18,15,3,-,8
"S00135764",77,-,-,-,8,2,2,5,-,3,4,-,14,21,7,-,6
"S00135765",119,-,-,3,6,2,-,6,-,6,7,2,17,25,11,4,17
"S00135766",91,-,1,7,15,3,2,7,1,6,2,5,6,10,2,-,23
"S00135767",98,-,2,2,6,1,1,10,-,3,4,3,12,27,15,2,9
"S00135768",140,-,-,3,7,1,3,9,2,8,4,5,22,43,24,-,8
"S00135769",97,-,1,2,-,2,-,11,1,7,9,3,11,34,11,-,4
"S00135770",93,-,1,5,8,-,2,8,1,3,3,3,13,26,6,-,18
"S00135771",100,-,-,4,1,1,2,10,2,6,4,6,13,22,2,3,23
"S00135772",151,-,1,-,20,-,3,15,-,10,5,11,24,48,6,3,3
"S00135773",118,-,-,5,5,1,5,16,2,9,2,5,15,28,9,1,14
"S00135774",61,-,-,1,7,-,-,5,-,3,5,1,10,17,4,3,8
"S00135775",129,-,-,4,5,3,5,9,-,5,10,8,21,31,8,4,14
"S00135776",84,-,1,7,5,-,1,14,2,4,4,6,6,14,3,3,13
"S00135777",139,-,1,5,10,2,4,14,-,5,2,4,19,27,35,2,7
"S00135778",60,-,-,2,1,2,2,4,2,1,4,3,6,15,8,1,12
"S00135779",100,-,4,5,15,1,3,12,2,4,5,4,17,20,4,-,6
"S00135780",76,-,-,4,3,1,1,3,1,10,7,2,8,17,3,1,12
"S00135781",98,-,-,6,10,3,2,8,-,16,3,6,18,15,6,2,6
"S00135782",86,-,2,2,7,6,-,16,-,2,3,8,13,12,3,-,5
"S00135783",135,-,2,7,9,4,6,14,1,9,6,6,7,36,10,4,12
"S00135784",64,-,-,2,7,1,2,11,-,3,3,-,7,17,6,2,5
"S00135785",55,-,-,-,4,1,-,2,1,4,2,1,13,13,9,3,7
"S00135786",114,-,-,2,3,3,4,12,-,6,3,4,17,30,13,3,13
"S00135787",51,-,-,1,6,-,-,4,-,6,4,1,7,4,2,-,12
"S00135788",93,-,1,2,9,-,2,4,-,6,3,5,13,29,9,1,7
"S00135789",80,-,1,1,7,1,2,9,5,5,4,4,7,21,7,-,4
"S00135790",91,-,1,1,9,3,3,8,-,3,4,5,9,28,8,-,12
"S00135791",143,-,1,3,10,2,3,7,2,12,5,7,24,51,4,8,8
"S00135792",70,-,4,2,4,1,4,4,1,3,5,2,9,17,6,7,2
"S00135793",76,-,-,3,10,1,-,5,2,13,2,3,8,13,7,4,2
"S00135794",117,-,6,20,30,5,3,15,2,3,6,2,9,6,2,-,10
"S00135795",78,-,-,2,8,7,2,10,2,-,4,2,11,15,8,-,15
"S00135796",88,-,1,6,9,3,3,7,-,9,6,1,11,16,5,1,13
"S00135797",194,-,3,18,11,-,2,10,2,6,4,2,10,4,5,2,117
"S00135798",72,-,1,1,1,3,1,6,3,4,1,6,12,11,3,3,10
"S00135799",141,-,-,3,10,4,3,9,3,5,6,4,22,38,12,1,20
"S00135800",88,-,-,10,13,-,3,11,2,3,2,2,9,8,9,-,12
"S00135801",65,-,-,-,3,-,4,5,1,-,5,9,13,14,2,2,2
"S00135802",68,-,-,4,4,-,-,8,-,7,4,1,11,13,3,-,18
"S00135803",83,-,1,1,12,-,1,11,-,4,2,3,13,17,8,-,11
"S00135804",92,-,1,3,11,3,2,8,4,4,2,5,11,27,7,-,6
"S00135805",66,-,-,5,4,3,-,8,1,3,2,-,5,13,7,3,15
"S00135806",90,-,-,1,7,2,3,14,1,5,2,4,17,21,12,2,4
"S00135807",85,-,-,1,8,-,-,4,-,2,10,-,3,35,5,2,17
"S00135808",99,-,1,3,5,-,1,12,1,3,1,4,6,27,13,1,18
"S00135809",81,-,-,4,7,-,4,10,-,4,1,4,14,20,7,-,6
"S00135810",94,-,6,11,21,3,4,10,1,6,4,4,8,4,1,-,12
"S00135811",125,-,1,4,11,4,5,8,1,8,6,9,14,35,8,3,14
"S00135812",92,-,-,9,14,2,1,4,-,-,-,7,7,34,8,-,13
"S00135813",89,-,1,5,5,2,1,6,-,5,5,1,15,20,9,-,16
"S00135814",57,-,-,-,1,-,1,2,3,4,2,-,14,14,4,3,7
"S00135815",66,-,-,2,-,1,2,5,-,2,3,1,13,18,7,2,5
"S00135816",91,-,-,6,20,4,2,8,2,4,9,-,9,22,5,1,5
"S00135817",94,-,-,1,9,5,2,10,-,2,3,6,12,22,8,4,6
"S00135818",91,-,-,4,6,2,1,6,1,4,1,2,21,20,4,-,15
"S00135819",89,-,3,2,7,-,1,11,1,3,5,4,14,33,2,2,8
"S00135820",126,-,4,-,9,1,3,16,3,3,4,6,23,29,13,4,11
"S00135821",68,-,1,2,11,3,1,6,2,3,4,2,12,15,4,-,3
"S00135822",88,1,-,2,5,1,-,10,2,4,4,6,9,23,4,3,18
"S00135823",122,-,-,3,7,-,2,7,-,6,4,7,11,38,8,9,22
"S00135824",142,-,5,1,7,2,3,14,-,13,10,10,23,42,10,-,6
"S00135825",75,-,2,-,2,1,1,9,-,7,6,-,14,22,4,1,6
"S00135826",69,-,1,1,5,2,3,4,-,8,3,1,6,15,7,2,10
"S00135827",50,-,1,-,3,-,1,8,-,3,3,-,9,15,3,-,2
"S00135828",111,-,1,13,13,-,2,10,2,7,4,4,22,24,8,-,4
"S00135829",81,-,-,1,5,3,-,6,-,11,-,-,10,27,13,4,5
"S00135830",60,-,2,8,2,-,2,7,-,1,4,1,11,15,2,1,7
"S00135831",96,-,2,5,9,3,3,6,2,4,2,3,14,23,8,2,9
"S00135832",148,-,-,3,13,2,4,12,1,10,10,4,15,46,7,6,11
"S00135833",97,-,2,-,6,-,5,12,-,9,3,4,16,21,9,-,5
"S00135834",86,-,1,15,7,4,1,11,2,3,6,2,9,6,3,-,18
"S00135835",130,-,-,3,8,1,4,12,1,9,8,9,14,30,9,9,4
"S00135836",84,-,-,1,6,1,3,5,-,4,5,5,18,24,5,-,5
"S00135837",106,-,-,3,6,-,1,17,1,8,7,10,17,19,7,1,7
"S00135838",155,-,3,32,14,3,6,7,1,1,2,1,9,4,2,2,70
"S00135839",225,-,3,7,16,2,3,9,2,2,6,6,15,15,5,2,127
"S00135840",128,-,3,15,19,1,2,15,-,4,5,4,18,15,4,3,20
"S00135841",59,-,-,4,16,3,1,6,5,3,7,1,2,13,-,-,2
"S00135842",75,-,2,6,14,2,2,11,1,1,-,1,7,8,5,-,13
"S00135843",72,-,-,1,4,2,1,5,-,5,6,-,13,17,11,-,6
"S00135844",55,-,-,-,3,3,-,4,-,5,2,2,11,14,4,-,7
"S00135845",66,-,2,-,4,1,3,12,2,2,3,7,9,6,2,1,3
"S00135846",102,-,1,17,18,-,2,15,1,-,12,4,5,8,4,1,9
"S00135847",214,-,-,1,1,1,1,1,-,-,3,2,7,14,5,3,171
"S00135848",89,-,-,1,5,4,4,7,1,-,4,3,12,25,6,4,5
"S00135849",68,-,1,1,8,2,2,2,-,5,5,4,14,18,5,2,5
"S00135850",69,-,2,9,13,3,4,8,-,5,1,2,6,3,-,-,8
"S00135851",91,-,-,6,4,2,4,6,-,1,9,4,21,20,4,-,10
"S00135852",63,-,-,2,5,3,4,4,-,6,2,4,6,7,4,1,12
"S00135853",78,-,-,2,3,2,2,9,-,3,4,2,19,17,12,1,4
"S00135854",65,-,-,11,7,4,1,12,2,1,1,6,4,7,5,-,7
"S00135855",96,-,-,1,2,2,3,7,2,2,4,1,11,24,17,1,19
"S00135856",60,-,-,4,6,3,-,6,-,3,1,2,3,15,6,-,12
"S00135857",50,-,4,11,5,4,1,1,1,2,-,2,2,5,10,4,6
"S00135858",55,-,-,2,5,2,-,6,-,1,2,4,10,17,3,-,3
"S00135859",69,-,-,7,5,2,-,5,-,6,2,5,9,11,8,4,10
"S00135860",86,-,-,-,4,-,4,10,2,1,5,3,9,24,6,4,15
"S00135861",90,-,2,13,13,1,-,11,4,4,9,5,18,10,3,1,-
"S00135862",72,-,3,3,2,4,3,8,1,5,6,4,11,12,5,-,2
"S00135863",73,-,-,1,6,-,2,8,1,6,4,4,11,16,11,1,4
"S00135864",73,-,-,10,16,1,3,5,-,2,-,3,3,6,3,1,18
"S00135865",89,-,-,17,13,5,2,9,2,6,2,2,5,1,-,5,23
"S00135866",73,-,-,2,4,1,-,3,1,4,4,4,7,19,5,2,21
"S00135867",89,-,1,16,17,1,2,15,2,4,-,-,6,3,1,-,15
"S00135868",102,-,1,23,18,3,-,13,-,4,2,3,5,7,4,2,21
"S00135869",62,-,5,3,8,-,2,12,1,4,2,3,3,11,3,-,4
"S00135870",74,-,-,3,10,3,4,3,-,3,4,5,4,11,3,-,16
"S00135871",137,-,-,6,12,-,2,10,1,6,4,3,19,23,8,-,42
"S00135872",86,-,-,4,9,-,3,6,3,-,1,4,14,24,11,1,3
"S00135873",98,-,-,7,12,2,1,11,2,5,2,7,12,31,4,-,6
"S00135874",101,-,3,21,22,-,1,1,1,2,3,6,4,6,7,1,21
"S00135875",98,-,-,8,8,3,1,14,1,6,7,3,11,24,5,-,10
"S00135876",85,-,-,3,3,1,2,10,2,4,7,2,12,20,11,1,4
"S00135877",124,-,2,2,8,6,-,11,-,7,7,6,24,28,11,-,9
"S00135878",131,-,4,30,21,1,1,10,2,5,2,3,11,3,3,2,35
"S00135879",72,-,1,1,4,4,2,11,-,3,8,7,9,13,6,-,4
"S00135880",173,-,3,7,2,-,4,5,-,4,2,2,8,15,4,1,119
"S00135881",99,-,1,4,11,3,1,12,3,9,7,6,12,25,4,4,7
"S00135882",85,-,-,3,6,2,-,14,-,4,4,5,13,19,4,3,7
"S00135883",61,-,-,2,4,2,3,10,1,5,2,4,11,13,3,2,3
"S00135884",59,-,-,3,7,2,2,12,-,1,3,1,4,19,5,2,1
"S00135885",80,-,-,1,4,3,1,2,-,3,3,4,6,21,16,2,12
"S00135886",76,-,1,5,10,4,1,8,3,6,4,3,12,12,6,1,5
"S00135887",65,-,-,1,4,-,2,6,-,-,1,2,6,12,5,1,25
"S00135888",86,-,-,1,10,-,-,8,-,4,2,4,7,17,5,1,27
"S00135889",60,-,2,11,12,4,-,7,4,6,1,-,1,2,-,2,11
"S00135890",74,-,-,2,8,2,1,14,-,5,6,3,14,17,1,-,2
"S00135891",67,-,2,2,3,2,4,6,1,1,-,1,14,18,3,2,8
"S00135892",98,-,4,12,19,4,7,15,1,8,4,1,3,8,2,1,7
"S00135893",95,-,4,13,17,5,10,4,2,2,3,-,9,7,-,1,20
"S00135894",100,-,-,1,12,1,3,21,1,2,7,2,14,20,11,2,6
"S00135895",126,-,2,3,9,3,-,13,1,9,3,8,21,45,3,4,4
"S00135896",134,-,1,9,8,4,-,8,4,12,6,5,20,40,6,1,10
"S00135897",129,-,1,6,9,1,1,11,-,9,1,4,17,31,10,10,18
"S00135898",98,-,3,2,4,3,4,6,-,6,2,8,11,28,6,1,11
"S00135899",72,-,1,4,3,1,-,9,1,3,4,1,2,11,4,-,24
"S00135900",115,-,1,7,5,-,1,7,2,1,4,4,13,15,8,2,44
"S00135901",92,-,1,5,6,1,4,5,1,5,5,5,14,19,9,-,10
"S00135902",72,-,1,3,8,2,4,4,1,3,4,2,15,19,3,-,5
"S00135903",89,-,1,2,6,2,-,2,-,5,4,3,9,20,5,1,27
"S00135904",64,-,1,1,8,1,-,10,1,-,4,2,8,14,2,2,10
"S00135905",69,-,-,2,7,2,2,6,-,6,4,2,12,9,13,-,1
"S00135906",51,-,2,2,7,-,3,6,2,8,-,1,9,5,1,-,1
"S00135907",99,-,2,4,6,-,1,5,1,3,1,7,6,11,-,2,45
"S00135908",90,-,1,-,8,2,3,7,-,7,4,5,22,21,4,1,5
"S00135909",54,-,-,5,7,1,-,7,-,-,7,1,5,19,4,-,1
"S00135910",67,-,1,3,6,3,-,6,1,4,3,2,9,12,8,3,4
"S00135911",87,-,3,4,12,1,2,17,-,6,8,4,5,15,4,1,5
"S00135912",110,-,2,23,19,-,1,8,-,2,-,4,6,2,1,-,42
"S00135913",104,-,2,32,13,2,1,8,1,4,-,1,5,6,4,1,22
"S00135914",93,-,3,20,18,4,1,15,5,2,-,3,3,3,-,2,17
"S00135915",128,-,6,17,25,3,1,21,2,2,4,3,12,7,-,1,22
"S00135916",82,-,2,15,19,3,-,7,1,3,-,4,2,3,9,-,14
"S00135917",118,-,3,3,8,6,4,16,-,7,8,10,18,18,5,1,9
"S00135918",91,-,3,4,10,5,2,9,-,4,4,5,12,18,3,-,7
"S00135919",73,-,-,6,9,3,2,9,1,4,-,-,9,12,3,3,5
"S00135920",100,1,-,8,12,3,4,13,1,5,6,2,17,21,5,1,2
"S00135921",98,-,5,3,14,1,3,10,2,2,6,2,15,18,9,-,10
"S00135922",103,-,3,18,23,-,2,17,2,5,2,2,8,3,5,3,9
"S00135923",200,-,5,5,7,4,3,9,1,2,4,-,8,8,8,4,136
"S00135924",82,-,1,3,10,1,-,7,-,4,2,5,11,22,7,1,6
"S00135925",60,-,-,4,6,2,1,11,-,2,5,-,9,11,2,6,6
"S00135926",86,-,-,3,11,-,-,7,3,3,3,7,10,24,9,-,5
"S00135927",113,-,4,10,20,6,3,13,3,9,3,3,9,9,12,-,7
"S00135928",70,-,-,6,6,3,3,4,-,3,2,2,3,5,-,-,33
"S00135929",62,-,1,7,8,2,-,6,1,1,5,3,6,11,4,3,4
"S00135930",113,-,6,24,26,4,3,17,-,3,2,3,9,7,1,2,6
"S00135931",97,-,1,7,13,5,3,13,3,5,5,4,10,16,4,-,1
"S00135932",64,-,-,3,1,1,1,2,1,-,1,3,16,14,7,1,13
"S00135933",120,-,-,23,19,6,4,20,-,2,3,5,12,15,4,-,6
"S00135934",114,-,-,6,15,3,1,8,1,1,1,5,7,15,7,-,40
"S00135935",89,-,4,15,22,1,5,8,4,7,3,4,10,3,8,-,-
"S00135936",94,-,-,2,11,3,2,8,-,3,1,2,8,17,1,-,32
"S00135937",105,-,-,13,12,1,3,13,2,4,-,1,8,9,4,2,29
"S00135938",90,-,-,6,10,6,5,11,-,1,4,2,14,22,4,-,6
"S00135939",67,-,2,13,9,-,-,4,-,1,-,1,6,7,2,2,21
"S00135940",82,-,1,2,4,2,4,7,-,2,2,4,8,29,12,1,5
"S00135941",113,-,3,19,9,-,2,9,-,1,4,6,6,6,4,-,44
"S00135942",115,-,1,17,20,3,5,17,-,5,2,5,18,11,6,-,4
"S00135943",88,-,2,12,17,3,5,11,1,6,-,-,7,7,5,1,3
"S00135944",144,-,2,5,10,5,6,16,1,11,2,7,24,30,10,4,10
"S00135945",74,-,-,4,16,2,3,8,-,4,3,3,5,7,6,-,11
"S00135946",130,-,3,23,25,7,7,17,-,5,1,7,7,11,4,1,12
"S00135947",112,-,4,14,18,2,-,12,1,4,6,2,13,12,12,-,13
"S00135948",121,-,2,8,7,-,-,7,2,8,2,4,18,10,6,-,49
"S00135949",128,-,7,14,31,2,6,12,-,14,4,1,10,12,1,3,12
"S00135950",60,-,1,1,8,1,-,7,-,4,3,4,10,13,7,2,3
"S00135951",129,-,2,13,6,2,-,5,1,2,7,3,8,7,-,-,71
"S00135952",57,-,-,6,7,1,2,11,2,1,-,2,3,8,8,-,8
"S00135953",110,-,-,9,6,5,3,9,-,4,2,4,7,2,5,-,52
"S00135954",115,2,7,33,12,5,3,10,4,5,5,4,12,1,1,-,13
"S00135955",117,-,2,6,11,2,4,9,1,6,8,5,17,36,-,2,6
"S00135956",99,-,2,9,10,2,4,16,-,5,4,7,14,19,5,-,9
"S00135957",101,-,4,11,16,3,-,13,2,2,-,5,12,10,2,1,26
