OutputArea,All people aged 16 and over in employment the week before the census (including full-time students if they gave a work address as the address they primarily travel to for work or study),Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S00135742,46,10,4,18,-,3,-,-,-,-,11
S00135743,37,6,2,15,10,-,-,-,-,1,3
S00135744,45,8,1,18,8,-,1,-,-,-,10
S00135745,62,20,5,16,4,2,1,-,-,4,13
S00135746,30,4,5,11,3,2,1,-,-,-,5
S00135747,45,9,-,14,11,1,-,-,-,1,8
S00135748,60,9,5,23,8,4,1,-,-,-,9
S00135749,33,2,3,13,3,1,-,-,-,-,11
S00135750,59,11,4,13,6,1,-,-,-,2,21
S00135751,44,8,4,17,1,3,1,-,-,-,6
S00135752,52,6,4,12,7,1,1,-,-,2,13
S00135753,39,12,2,7,7,3,-,-,-,2,8
S00135754,36,14,3,12,6,1,-,-,-,-,4
S00135755,70,21,5,16,6,1,2,-,2,-,18
S00135756,44,12,1,14,5,2,-,-,1,2,8
S00135757,47,9,6,9,9,-,-,-,1,-,10
S00135758,22,2,1,4,7,-,-,-,-,-,6
S00135759,30,3,-,13,7,3,-,-,-,-,7
S00135760,30,7,2,12,3,1,-,-,-,-,6
S00135761,44,23,-,8,2,1,-,-,1,1,7
S00135762,46,9,3,13,9,4,1,-,-,1,6
S00135763,36,6,4,17,1,-,1,-,-,-,6
S00135764,44,20,-,10,6,-,-,-,-,-,8
S00135765,70,22,3,21,10,4,-,-,-,1,12
S00135766,44,12,4,15,5,2,-,-,-,2,13
S00135767,54,10,3,17,11,1,1,-,-,-,14
S00135768,78,13,4,22,21,2,-,1,-,-,13
S00135769,71,16,4,22,12,2,1,1,2,-,10
S00135770,48,14,4,9,6,2,-,-,-,-,13
S00135771,41,11,2,11,8,-,-,-,-,1,10
S00135772,89,19,7,24,19,2,-,-,-,-,19
S00135773,73,14,7,24,6,1,3,-,-,1,19
S00135774,38,12,1,14,7,-,1,-,-,-,3
S00135775,84,29,5,18,7,-,1,-,-,2,22
S00135776,46,12,5,15,2,2,1,-,1,1,6
S00135777,47,13,2,10,10,-,-,-,-,-,10
S00135778,27,6,2,7,4,4,-,-,-,-,4
S00135779,53,13,5,15,9,1,-,1,-,-,9
S00135780,52,13,2,13,10,2,-,-,-,2,17
S00135781,64,16,3,18,11,-,1,2,-,-,14
S00135782,48,15,6,16,2,3,-,-,-,-,7
S00135783,73,19,4,12,11,2,4,-,-,-,19
S00135784,40,10,2,13,7,-,-,-,-,-,8
S00135785,29,4,-,10,8,-,-,-,-,-,7
S00135786,63,25,3,19,7,-,-,-,-,-,11
S00135787,27,8,2,7,3,-,-,1,-,1,3
S00135788,54,10,6,11,14,2,2,-,-,-,9
S00135789,43,9,3,14,10,-,-,-,-,-,4
S00135790,54,15,3,14,2,-,-,-,-,1,16
S00135791,83,18,6,22,11,2,-,-,1,-,22
S00135792,38,5,1,5,9,-,2,-,-,1,16
S00135793,55,11,7,15,2,1,-,-,-,-,19
S00135794,81,28,1,10,28,7,2,1,-,-,6
S00135795,45,13,9,8,7,2,-,-,2,-,5
S00135796,43,6,6,15,-,4,1,-,-,1,12
S00135797,60,11,15,8,10,-,-,-,1,1,13
S00135798,27,10,3,6,3,-,-,-,1,1,7
