OutputArea,over16pop
S00136739,77
S00136740,122
S00136741,69
S00136742,118
S00136743,49
S00136744,96
S00136745,139
S00136746,133
S00136747,77
S00136748,93
S00136749,116
S00136750,74
S00136751,73
S00136752,100
S00136753,119
S00136754,77
S00136755,91
S00136756,89
S00136757,81
S00136758,70
S00136759,54
S00136760,82
S00136761,85
S00136762,102
S00136763,62
S00136764,103
S00136765,99
S00136766,96
S00136767,84
S00136768,127
S00136769,97
S00136770,79
S00136771,102
S00136772,88
S00136773,101
S00136774,64
S00136775,79
S00136776,117
S00136777,72
S00136778,75
S00136779,96
S00136780,93
S00136781,95
S00136782,124
S00136783,74
S00136784,61
S00136785,109
S00136786,131
S00136787,84
S00136788,84
S00136789,109
S00136790,131
S00136791,90
S00136792,51
S00136793,65
S00136794,112
S00136795,94
S00136796,98
S00136797,89
S00136798,105
S00136799,58
S00136800,99
S00136801,65
S00136802,61
S00136803,107
S00136804,119
S00136805,102
S00136806,55
S00136807,72
S00136808,113
S00136809,136
S00136810,129
S00136811,119
S00136812,80
S00136813,76
S00136814,109
S00136815,114
S00136816,64
S00136817,100
S00136818,73
S00136819,69
S00136820,81
S00136821,73
S00136822,73
S00136823,65
S00136824,83
S00136825,76
S00136826,75
S00136827,102
S00136828,104
S00136829,102
S00136830,103
S00136831,81
S00136832,133
S00136833,84
S00136834,97
S00136835,137
S00136836,92
S00136837,115
S00136838,74
S00136839,71
S00136840,87
S00136841,140
S00136842,89
S00136843,89
S00136844,105
S00136845,94
S00136846,84
S00136847,76
S00136848,76
S00136849,109
S00136850,65
S00136851,81
S00136852,57
S00136853,77
S00136854,118
S00136855,53
S00136856,83
S00136857,66
S00136858,116
S00136859,62
S00136860,84
S00136861,96
S00136862,59
S00136863,77
S00136864,74
S00136865,82
S00136866,78
S00136867,92
S00136868,91
S00136869,96
S00136870,93
S00136871,64
S00136872,116
S00136873,99
S00136874,80
S00136875,81
S00136876,102
S00136877,81
S00136878,80
S00136879,57
S00136880,122
S00136881,128
S00136882,82
S00136883,109
S00136884,92
S00136885,168
S00136886,60
S00136887,89
S00136888,52
S00136889,81
S00136890,104
S00136891,67
S00136892,96
S00136893,81
S00136894,57
S00136895,129
S00136896,58
S00136897,91
S00136898,60
S00136899,71
S00136900,116
S00136901,57
S00136902,121
S00136903,92
S00136904,61
S00136905,72
S00136906,63
S00136907,86
S00136908,123
S00136909,81
S00136910,138
S00136911,105
S00136912,54
S00136913,88
S00136914,140
S00136915,68
S00136916,105
S00136917,128
S00136918,105
S00136919,136
S00136920,57
S00136921,115
S00136922,74
S00136923,143
S00136924,71
S00136925,55
S00136926,79
S00136927,83
S00136928,97
S00136929,69
S00136930,81
S00136931,89
S00136932,258
S00136933,106
S00136934,104
S00136935,78
S00136936,84
S00136937,88
S00136938,115
S00136939,150
S00136940,137
S00136941,134
S00136942,61
S00136943,76
S00136944,119
S00136945,79
S00136946,79
S00136947,89
S00136948,129
S00136949,139
S00136950,127
S00136951,66
S00136952,85
S00136953,115
S00136954,113
S00136955,93
S00136956,99
S00136957,70
S00136958,202
S00136959,92
S00136960,75
S00136961,94
S00136962,70
S00136963,93
S00136964,87
S00136965,88
S00136966,117
S00136967,85
S00136968,131
S00136969,89
S00136970,92
S00136971,129
S00136972,87
S00136973,116
S00136974,84
S00136975,97
S00136976,100
S00136977,100
S00136978,114
S00136979,158
S00136980,115
S00136981,81
S00136982,102
S00136983,128
S00136984,150
S00136985,106
S00136986,129
S00136987,80
S00136988,74
S00136989,81
S00136990,117
S00136991,121
S00136992,80
S00136993,108
S00136994,52
S00136995,124
S00136996,68
S00136997,62
S00136998,149
S00136999,82
S00137000,53
S00137001,126
S00137002,85
S00137003,103
S00137004,77
S00137005,63
S00137006,114
S00137007,79
S00137008,83
S00137009,108
S00137010,111
S00137011,128
S00137012,150
S00137013,111
S00137014,98
S00137015,80
S00137016,122
S00137017,83
S00137018,71
S00137019,107
S00137020,67
S00137021,59
S00137022,77
S00137023,72
S00137024,132
S00137025,104
S00137026,77
S00137027,93
S00137028,115
S00137029,66
S00137030,133
S00137031,91
S00137032,258
S00137033,115
S00137034,64
S00137035,97
S00137036,56
S00137037,78
S00137038,73
S00137039,59
S00137040,97
S00137041,101
S00137042,91
S00137043,112
S00137044,81
S00137045,73
S00137046,122
S00137047,55
S00137048,81
S00137049,73
S00137050,96
S00137051,78
S00137052,57
S00137053,117
S00137054,93
S00137055,104
S00137056,79
S00137057,98
S00137058,69
S00137059,159
S00137060,57
S00137061,143
S00137062,92
S00137063,134
S00137064,127
S00137065,138
S00137066,65
S00137067,105
S00137068,108
S00137069,88
S00137070,125
S00137071,52
S00137072,96
S00137073,113
S00137074,137
S00137075,61
